Reference_Date,Carrier,Geography
2024-07-22,CN,CN terminal area, Saskatoon
2024-07-22,CN,CN terminal area, Toronto
2024-07-22,CN,CN terminal area, Vancouver
2024-07-22,CN,CN terminal area, Winnipeg
2024-07-22,CPKC,CPKC terminal area, Calgary
2024-07-22,CPKC,CPKC terminal area, Edmonton
2024-07-22,CPKC,CPKC terminal area, Lethbridge
2024-07-22,CPKC,CPKC terminal area, Montreal
2024-07-22,CPKC,CPKC terminal area, Moose Jaw
2024-07-22,CPKC,CPKC terminal area, Red Deer
2024-07-22,CPKC,CPKC terminal area, Toronto
2024-07-22,CPKC,CPKC terminal area, Vancouver
2024-07-22,CPKC,CPKC terminal area, Winnipeg
2024-07-29,CN,CN terminal area, Edmonton
2024-07-29,CN,CN terminal area, Kamloops
2024-07-29,CN,CN terminal area, Montreal
2024-07-29,CN,CN terminal area, Prince George
2024-07-29,CN,CN terminal area, Prince Rupert
2024-07-29,CN,CN terminal area, Sarnia
2024-07-29,CN,CN terminal area, Saskatoon
2024-07-29,CN,CN terminal area, Toronto
2024-07-29,CN,CN terminal area, Vancouver
2024-07-29,CN,CN terminal area, Winnipeg
2024-07-29,CPKC,CPKC terminal area, Calgary
2024-07-29,CPKC,CPKC terminal area, Edmonton
2024-07-29,CPKC,CPKC terminal area, Lethbridge
2024-07-29,CPKC,CPKC terminal area, Montreal
2024-07-29,CPKC,CPKC terminal area, Moose Jaw
2024-07-29,CPKC,CPKC terminal area, Red Deer
2024-07-29,CPKC,CPKC terminal area, Toronto
2024-07-29,CPKC,CPKC terminal area, Vancouver
2024-07-29,CPKC,CPKC terminal area, Winnipeg
2024-08-05,CN,CN terminal area, Edmonton
2024-08-05,CN,CN terminal area, Kamloops
2024-08-05,CN,CN terminal area, Montreal
2024-08-05,CN,CN terminal area, Prince George
2024-08-05,CN,CN terminal area, Prince Rupert
2024-08-05,CN,CN terminal area, Sarnia
2024-08-05,CN,CN terminal area, Saskatoon
2024-08-05,CN,CN terminal area, Toronto
2024-08-05,CN,CN terminal area, Vancouver
2024-08-05,CN,CN terminal area, Winnipeg
2024-08-05,CPKC,CPKC terminal area, Calgary
2024-08-05,CPKC,CPKC terminal area, Edmonton
2024-08-05,CPKC,CPKC terminal area, Lethbridge
2024-08-05,CPKC,CPKC terminal area, Montreal
2024-08-05,CPKC,CPKC terminal area, Moose Jaw
2024-08-05,CPKC,CPKC terminal area, Red Deer
2024-08-05,CPKC,CPKC terminal area, Toronto
2024-08-05,CPKC,CPKC terminal area, Vancouver
2024-08-05,CPKC,CPKC terminal area, Winnipeg
2024-08-12,CN,CN terminal area, Edmonton
2024-08-12,CN,CN terminal area, Kamloops
2024-08-12,CN,CN terminal area, Montreal
2024-08-12,CN,CN terminal area, Prince George
2024-08-12,CN,CN terminal area, Prince Rupert
2024-08-12,CN,CN terminal area, Sarnia
2024-08-12,CN,CN terminal area, Saskatoon
2024-08-12,CN,CN terminal area, Toronto
2024-08-12,CN,CN terminal area, Vancouver
2024-08-12,CN,CN terminal area, Winnipeg
2024-08-12,CPKC,CPKC terminal area, Calgary
2024-08-12,CPKC,CPKC terminal area, Edmonton
2024-08-12,CPKC,CPKC terminal area, Lethbridge
2024-08-12,CPKC,CPKC terminal area, Montreal
2024-08-12,CPKC,CPKC terminal area, Moose Jaw
2024-08-12,CPKC,CPKC terminal area, Red Deer
2024-08-12,CPKC,CPKC terminal area, Toronto
2024-08-12,CPKC,CPKC terminal area, Vancouver
2024-08-12,CPKC,CPKC terminal area, Winnipeg
2024-08-19,CN,CN terminal area, Edmonton
2024-08-19,CN,CN terminal area, Kamloops
2024-08-19,CN,CN terminal area, Montreal
2024-08-19,CN,CN terminal area, Prince George
2024-08-19,CN,CN terminal area, Prince Rupert
2024-08-19,CN,CN terminal area, Sarnia
2024-08-19,CN,CN terminal area, Saskatoon
2024-08-19,CN,CN terminal area, Toronto
2024-08-19,CN,CN terminal area, Vancouver
2024-08-19,CN,CN terminal area, Winnipeg
2024-08-19,CPKC,CPKC terminal area, Calgary
2024-08-19,CPKC,CPKC terminal area, Edmonton
2024-08-19,CPKC,CPKC terminal area, Lethbridge
2024-08-19,CPKC,CPKC terminal area, Montreal
2024-08-19,CPKC,CPKC terminal area, Moose Jaw
2024-08-19,CPKC,CPKC terminal area, Red Deer
2024-08-19,CPKC,CPKC terminal area, Toronto
2024-08-19,CPKC,CPKC terminal area, Vancouver
2024-08-19,CPKC,CPKC terminal area, Winnipeg
2024-08-26,CN,CN terminal area, Edmonton
2024-08-26,CN,CN terminal area, Kamloops
2024-08-26,CN,CN terminal area, Montreal
2024-08-26,CN,CN terminal area, Prince George
2024-08-26,CN,CN terminal area, Prince Rupert
2024-08-26,CN,CN terminal area, Sarnia
2024-08-26,CN,CN terminal area, Saskatoon
2024-08-26,CN,CN terminal area, Toronto
2024-08-26,CN,CN terminal area, Vancouver
2024-08-26,CN,CN terminal area, Winnipeg
2024-08-26,CPKC,CPKC terminal area, Calgary
2024-08-26,CPKC,CPKC terminal area, Edmonton
2024-08-26,CPKC,CPKC terminal area, Lethbridge
2024-08-26,CPKC,CPKC terminal area, Montreal
2024-08-26,CPKC,CPKC terminal area, Moose Jaw
2024-08-26,CPKC,CPKC terminal area, Red Deer
2024-08-26,CPKC,CPKC terminal area, Toronto
2024-08-26,CPKC,CPKC terminal area, Vancouver
2024-08-26,CPKC,CPKC terminal area, Winnipeg
2024-09-02,CN,CN terminal area, Edmonton
2024-09-02,CN,CN terminal area, Kamloops
2024-09-02,CN,CN terminal area, Montreal
2024-09-02,CN,CN terminal area, Prince George
2024-09-02,CN,CN terminal area, Prince Rupert
2024-09-02,CN,CN terminal area, Sarnia
2024-09-02,CN,CN terminal area, Saskatoon
2024-09-02,CN,CN terminal area, Toronto
2024-09-02,CN,CN terminal area, Vancouver
2024-09-02,CN,CN terminal area, Winnipeg
2024-09-02,CPKC,CPKC terminal area, Calgary
2024-09-02,CPKC,CPKC terminal area, Edmonton
2024-09-02,CPKC,CPKC terminal area, Lethbridge
2024-09-02,CPKC,CPKC terminal area, Montreal
2024-09-02,CPKC,CPKC terminal area, Moose Jaw
2024-09-02,CPKC,CPKC terminal area, Red Deer
2024-09-02,CPKC,CPKC terminal area, Toronto
2024-09-02,CPKC,CPKC terminal area, Vancouver
2024-09-02,CPKC,CPKC terminal area, Winnipeg
2024-09-09,CN,CN terminal area, Edmonton
2024-09-09,CN,CN terminal area, Kamloops
2024-09-09,CN,CN terminal area, Montreal
2024-09-09,CN,CN terminal area, Prince George
2024-09-09,CN,CN terminal area, Prince Rupert
2024-09-09,CN,CN terminal area, Sarnia
2024-09-09,CN,CN terminal area, Saskatoon
2024-09-09,CN,CN terminal area, Toronto
2024-09-09,CN,CN terminal area, Vancouver
2024-09-09,CN,CN terminal area, Winnipeg
2024-09-09,CPKC,CPKC terminal area, Calgary
2024-09-09,CPKC,CPKC terminal area, Edmonton
2024-09-09,CPKC,CPKC terminal area, Lethbridge
2024-09-09,CPKC,CPKC terminal area, Montreal
2024-09-09,CPKC,CPKC terminal area, Moose Jaw
2024-09-09,CPKC,CPKC terminal area, Red Deer
2024-09-09,CPKC,CPKC terminal area, Toronto
2024-09-09,CPKC,CPKC terminal area, Vancouver
2024-09-09,CPKC,CPKC terminal area, Winnipeg
2024-09-16,CN,CN terminal area, Edmonton
2024-09-16,CN,CN terminal area, Kamloops
2024-09-16,CN,CN terminal area, Montreal
2024-09-16,CN,CN terminal area, Prince George
2024-09-16,CN,CN terminal area, Prince Rupert
2024-09-16,CN,CN terminal area, Sarnia
2024-09-16,CN,CN terminal area, Saskatoon
2024-09-16,CN,CN terminal area, Toronto
2024-09-16,CN,CN terminal area, Vancouver
2024-09-16,CN,CN terminal area, Winnipeg
2024-09-16,CPKC,CPKC terminal area, Calgary
2024-09-16,CPKC,CPKC terminal area, Edmonton
2024-09-16,CPKC,CPKC terminal area, Lethbridge
2024-09-16,CPKC,CPKC terminal area, Montreal
2024-09-16,CPKC,CPKC terminal area, Moose Jaw
2024-09-16,CPKC,CPKC terminal area, Red Deer
2024-09-16,CPKC,CPKC terminal area, Toronto
2024-09-16,CPKC,CPKC terminal area, Vancouver
2024-09-16,CPKC,CPKC terminal area, Winnipeg
2024-09-23,CN,CN terminal area, Edmonton
2024-09-23,CN,CN terminal area, Kamloops
2024-09-23,CN,CN terminal area, Montreal
2024-09-23,CN,CN terminal area, Prince George
2024-09-23,CN,CN terminal area, Prince Rupert
2024-09-23,CN,CN terminal area, Sarnia
2024-09-23,CN,CN terminal area, Saskatoon
2024-09-23,CN,CN terminal area, Toronto
2024-09-23,CN,CN terminal area, Vancouver
2024-09-23,CN,CN terminal area, Winnipeg
2024-09-23,CPKC,CPKC terminal area, Calgary
2024-09-23,CPKC,CPKC terminal area, Edmonton
2024-09-23,CPKC,CPKC terminal area, Lethbridge
2024-09-23,CPKC,CPKC terminal area, Montreal
2024-09-23,CPKC,CPKC terminal area, Moose Jaw
2024-09-23,CPKC,CPKC terminal area, Red Deer
2024-09-23,CPKC,CPKC terminal area, Toronto
2024-09-23,CPKC,CPKC terminal area, Vancouver
2024-09-23,CPKC,CPKC terminal area, Winnipeg
2024-09-30,CN,CN terminal area, Edmonton
2024-09-30,CN,CN terminal area, Kamloops
2024-09-30,CN,CN terminal area, Montreal
2024-09-30,CN,CN terminal area, Prince George
2024-09-30,CN,CN terminal area, Prince Rupert
2024-09-30,CN,CN terminal area, Sarnia
2024-09-30,CN,CN terminal area, Saskatoon
2024-09-30,CN,CN terminal area, Toronto
2024-09-30,CN,CN terminal area, Vancouver
2024-09-30,CN,CN terminal area, Winnipeg
2024-09-30,CPKC,CPKC terminal area, Calgary
2024-09-30,CPKC,CPKC terminal area, Edmonton
2024-09-30,CPKC,CPKC terminal area, Lethbridge
2024-09-30,CPKC,CPKC terminal area, Montreal
2024-09-30,CPKC,CPKC terminal area, Moose Jaw
2024-09-30,CPKC,CPKC terminal area, Red Deer
2024-09-30,CPKC,CPKC terminal area, Toronto
2024-09-30,CPKC,CPKC terminal area, Vancouver
2024-09-30,CPKC,CPKC terminal area, Winnipeg
2024-10-07,CN,CN terminal area, Edmonton
2024-10-07,CN,CN terminal area, Kamloops
2024-10-07,CN,CN terminal area, Montreal
2024-10-07,CN,CN terminal area, Prince George
2024-10-07,CN,CN terminal area, Prince Rupert
2024-10-07,CN,CN terminal area, Sarnia
2024-10-07,CN,CN terminal area, Saskatoon
2024-10-07,CN,CN terminal area, Toronto
2024-10-07,CN,CN terminal area, Vancouver
2024-10-07,CN,CN terminal area, Winnipeg
2024-10-07,CPKC,CPKC terminal area, Calgary
2024-10-07,CPKC,CPKC terminal area, Edmonton
2024-10-07,CPKC,CPKC terminal area, Lethbridge
2024-10-07,CPKC,CPKC terminal area, Montreal
2024-10-07,CPKC,CPKC terminal area, Moose Jaw
2024-10-07,CPKC,CPKC terminal area, Red Deer
2024-10-07,CPKC,CPKC terminal area, Toronto
2024-10-07,CPKC,CPKC terminal area, Vancouver
2024-10-07,CPKC,CPKC terminal area, Winnipeg
2024-10-14,CN,CN terminal area, Edmonton
2024-10-14,CN,CN terminal area, Kamloops
2024-10-14,CN,CN terminal area, Montreal
2024-10-14,CN,CN terminal area, Prince George
2024-10-14,CN,CN terminal area, Prince Rupert
2024-10-14,CN,CN terminal area, Sarnia
2024-10-14,CN,CN terminal area, Saskatoon
2024-10-14,CN,CN terminal area, Toronto
2024-10-14,CN,CN terminal area, Vancouver
2024-10-14,CN,CN terminal area, Winnipeg
2024-10-14,CPKC,CPKC terminal area, Calgary
2024-10-14,CPKC,CPKC terminal area, Edmonton
2024-10-14,CPKC,CPKC terminal area, Lethbridge
2024-10-14,CPKC,CPKC terminal area, Montreal
2024-10-14,CPKC,CPKC terminal area, Moose Jaw
2024-10-14,CPKC,CPKC terminal area, Red Deer
2024-10-14,CPKC,CPKC terminal area, Toronto
2024-10-14,CPKC,CPKC terminal area, Vancouver
2024-10-14,CPKC,CPKC terminal area, Winnipeg
2024-10-21,CN,CN terminal area, Edmonton
2024-10-21,CN,CN terminal area, Kamloops
2024-10-21,CN,CN terminal area, Montreal
2024-10-21,CN,CN terminal area, Prince George
2024-10-21,CN,CN terminal area, Prince Rupert
2024-10-21,CN,CN terminal area, Sarnia
2024-10-21,CN,CN terminal area, Saskatoon
2024-10-21,CN,CN terminal area, Toronto
2024-10-21,CN,CN terminal area, Vancouver
2024-10-21,CN,CN terminal area, Winnipeg
2024-10-21,CPKC,CPKC terminal area, Calgary
2024-10-21,CPKC,CPKC terminal area, Edmonton
2024-10-21,CPKC,CPKC terminal area, Lethbridge
2024-10-21,CPKC,CPKC terminal area, Montreal
2024-10-21,CPKC,CPKC terminal area, Moose Jaw
2024-10-21,CPKC,CPKC terminal area, Red Deer
2024-10-21,CPKC,CPKC terminal area, Toronto
2024-10-21,CPKC,CPKC terminal area, Vancouver
2024-10-21,CPKC,CPKC terminal area, Winnipeg
2024-10-28,CN,CN terminal area, Edmonton
2024-10-28,CN,CN terminal area, Kamloops
2024-10-28,CN,CN terminal area, Montreal
2024-10-28,CN,CN terminal area, Prince George
2024-10-28,CN,CN terminal area, Prince Rupert
2024-10-28,CN,CN terminal area, Sarnia
2024-10-28,CN,CN terminal area, Saskatoon
2024-10-28,CN,CN terminal area, Toronto
2024-10-28,CN,CN terminal area, Vancouver
2024-10-28,CN,CN terminal area, Winnipeg
2024-10-28,CPKC,CPKC terminal area, Calgary
2024-10-28,CPKC,CPKC terminal area, Edmonton
2024-10-28,CPKC,CPKC terminal area, Lethbridge
2024-10-28,CPKC,CPKC terminal area, Montreal
2024-10-28,CPKC,CPKC terminal area, Moose Jaw
2024-10-28,CPKC,CPKC terminal area, Red Deer
2024-10-28,CPKC,CPKC terminal area, Toronto
2024-10-28,CPKC,CPKC terminal area, Vancouver
2024-10-28,CPKC,CPKC terminal area, Winnipeg
2024-11-04,CN,CN terminal area, Edmonton
2024-11-04,CN,CN terminal area, Kamloops
2024-11-04,CN,CN terminal area, Montreal
2024-11-04,CN,CN terminal area, Prince George
2024-11-04,CN,CN terminal area, Prince Rupert
2024-11-04,CN,CN terminal area, Sarnia
2024-11-04,CN,CN terminal area, Saskatoon
2024-11-04,CN,CN terminal area, Toronto
2024-11-04,CN,CN terminal area, Vancouver
2024-11-04,CN,CN terminal area, Winnipeg
2024-11-04,CPKC,CPKC terminal area, Calgary
2024-11-04,CPKC,CPKC terminal area, Edmonton
2024-11-04,CPKC,CPKC terminal area, Lethbridge
2024-11-04,CPKC,CPKC terminal area, Montreal
2024-11-04,CPKC,CPKC terminal area, Moose Jaw
2024-11-04,CPKC,CPKC terminal area, Red Deer
2024-11-04,CPKC,CPKC terminal area, Toronto
2024-11-04,CPKC,CPKC terminal area, Vancouver
2024-11-04,CPKC,CPKC terminal area, Winnipeg
2024-11-11,CN,CN terminal area, Edmonton
2024-11-11,CN,CN terminal area, Kamloops
2024-11-11,CN,CN terminal area, Montreal
2024-11-11,CN,CN terminal area, Prince George
2024-11-11,CN,CN terminal area, Prince Rupert
2024-11-11,CN,CN terminal area, Sarnia
2024-11-11,CN,CN terminal area, Saskatoon
2024-11-11,CN,CN terminal area, Toronto
2024-11-11,CN,CN terminal area, Vancouver
2024-11-11,CN,CN terminal area, Winnipeg
2024-11-11,CPKC,CPKC terminal area, Calgary
2024-11-11,CPKC,CPKC terminal area, Edmonton
2024-11-11,CPKC,CPKC terminal area, Lethbridge
2024-11-11,CPKC,CPKC terminal area, Montreal
2024-11-11,CPKC,CPKC terminal area, Moose Jaw
2024-11-11,CPKC,CPKC terminal area, Red Deer
2024-11-11,CPKC,CPKC terminal area, Toronto
2024-11-11,CPKC,CPKC terminal area, Vancouver
2024-11-11,CPKC,CPKC terminal area, Winnipeg
2024-11-18,CN,CN terminal area, Edmonton
2024-11-18,CN,CN terminal area, Kamloops
2024-11-18,CN,CN terminal area, Montreal
2024-11-18,CN,CN terminal area, Prince George
2024-11-18,CN,CN terminal area, Prince Rupert
2024-11-18,CN,CN terminal area, Sarnia
2024-11-18,CN,CN terminal area, Saskatoon
2024-11-18,CN,CN terminal area, Toronto
2024-11-18,CN,CN terminal area, Vancouver
2024-11-18,CN,CN terminal area, Winnipeg
2024-11-18,CPKC,CPKC terminal area, Calgary
2024-11-18,CPKC,CPKC terminal area, Edmonton
2024-11-18,CPKC,CPKC terminal area, Lethbridge
2024-11-18,CPKC,CPKC terminal area, Montreal
2024-11-18,CPKC,CPKC terminal area, Moose Jaw
2024-11-18,CPKC,CPKC terminal area, Red Deer
2024-11-18,CPKC,CPKC terminal area, Toronto
2024-11-18,CPKC,CPKC terminal area, Vancouver
2024-11-18,CPKC,CPKC terminal area, Winnipeg
2024-11-25,CN,CN terminal area, Edmonton
2024-11-25,CN,CN terminal area, Kamloops
2024-11-25,CN,CN terminal area, Montreal
2024-11-25,CN,CN terminal area, Prince George
2024-11-25,CN,CN terminal area, Prince Rupert
2024-11-25,CN,CN terminal area, Sarnia
2024-11-25,CN,CN terminal area, Saskatoon
2024-11-25,CN,CN terminal area, Toronto
2024-11-25,CN,CN terminal area, Vancouver
2024-11-25,CN,CN terminal area, Winnipeg
2024-11-25,CPKC,CPKC terminal area, Calgary
2024-11-25,CPKC,CPKC terminal area, Edmonton
2024-11-25,CPKC,CPKC terminal area, Lethbridge
2024-11-25,CPKC,CPKC terminal area, Montreal
2024-11-25,CPKC,CPKC terminal area, Moose Jaw
2024-11-25,CPKC,CPKC terminal area, Red Deer
2024-11-25,CPKC,CPKC terminal area, Toronto
2024-11-25,CPKC,CPKC terminal area, Vancouver
2024-11-25,CPKC,CPKC terminal area, Winnipeg
2024-12-02,CN,CN terminal area, Edmonton
2024-12-02,CN,CN terminal area, Kamloops
2024-12-02,CN,CN terminal area, Montreal
2024-12-02,CN,CN terminal area, Prince George
2024-12-02,CN,CN terminal area, Prince Rupert
2024-12-02,CN,CN terminal area, Sarnia
2024-12-02,CN,CN terminal area, Saskatoon
2024-12-02,CN,CN terminal area, Toronto
2024-12-02,CN,CN terminal area, Vancouver
2024-12-02,CN,CN terminal area, Winnipeg
2024-12-02,CPKC,CPKC terminal area, Calgary
2024-12-02,CPKC,CPKC terminal area, Edmonton
2024-12-02,CPKC,CPKC terminal area, Lethbridge
2024-12-02,CPKC,CPKC terminal area, Montreal
2024-12-02,CPKC,CPKC terminal area, Moose Jaw
2024-12-02,CPKC,CPKC terminal area, Red Deer
2024-12-02,CPKC,CPKC terminal area, Toronto
2024-12-02,CPKC,CPKC terminal area, Vancouver
2024-12-02,CPKC,CPKC terminal area, Winnipeg
2024-12-09,CN,CN terminal area, Edmonton
2024-12-09,CN,CN terminal area, Kamloops
2024-12-09,CN,CN terminal area, Montreal
2024-12-09,CN,CN terminal area, Prince George
2024-12-09,CN,CN terminal area, Prince Rupert
2024-12-09,CN,CN terminal area, Sarnia
2024-12-09,CN,CN terminal area, Saskatoon
2024-12-09,CN,CN terminal area, Toronto
2024-12-09,CN,CN terminal area, Vancouver
2024-12-09,CN,CN terminal area, Winnipeg
2024-12-09,CPKC,CPKC terminal area, Calgary
2024-12-09,CPKC,CPKC terminal area, Edmonton
2024-12-09,CPKC,CPKC terminal area, Lethbridge
2024-12-09,CPKC,CPKC terminal area, Montreal
2024-12-09,CPKC,CPKC terminal area, Moose Jaw
2024-12-09,CPKC,CPKC terminal area, Red Deer
2024-12-09,CPKC,CPKC terminal area, Toronto
2024-12-09,CPKC,CPKC terminal area, Vancouver
2024-12-09,CPKC,CPKC terminal area, Winnipeg
2024-12-16,CN,CN terminal area, Edmonton
2024-12-16,CN,CN terminal area, Kamloops
2024-12-16,CN,CN terminal area, Montreal
2024-12-16,CN,CN terminal area, Prince George
2024-12-16,CN,CN terminal area, Prince Rupert
2024-12-16,CN,CN terminal area, Sarnia
2024-12-16,CN,CN terminal area, Saskatoon
2024-12-16,CN,CN terminal area, Toronto
2024-12-16,CN,CN terminal area, Vancouver
2024-12-16,CN,CN terminal area, Winnipeg
2024-12-16,CPKC,CPKC terminal area, Calgary
2024-12-16,CPKC,CPKC terminal area, Edmonton
2024-12-16,CPKC,CPKC terminal area, Lethbridge
2024-12-16,CPKC,CPKC terminal area, Montreal
2024-12-16,CPKC,CPKC terminal area, Moose Jaw
2024-12-16,CPKC,CPKC terminal area, Red Deer
2024-12-16,CPKC,CPKC terminal area, Toronto
2024-12-16,CPKC,CPKC terminal area, Vancouver
2024-12-16,CPKC,CPKC terminal area, Winnipeg
2024-12-23,CN,CN terminal area, Edmonton
2024-12-23,CN,CN terminal area, Kamloops
2024-12-23,CN,CN terminal area, Montreal
2024-12-23,CN,CN terminal area, Prince George
2024-12-23,CN,CN terminal area, Prince Rupert
2024-12-23,CN,CN terminal area, Sarnia
2024-12-23,CN,CN terminal area, Saskatoon
2024-12-23,CN,CN terminal area, Toronto
2024-12-23,CN,CN terminal area, Vancouver
2024-12-23,CN,CN terminal area, Winnipeg
2024-12-23,CPKC,CPKC terminal area, Calgary
2024-12-23,CPKC,CPKC terminal area, Edmonton
2024-12-23,CPKC,CPKC terminal area, Lethbridge
2024-12-23,CPKC,CPKC terminal area, Montreal
2024-12-23,CPKC,CPKC terminal area, Moose Jaw
2024-12-23,CPKC,CPKC terminal area, Red Deer
2024-12-23,CPKC,CPKC terminal area, Toronto
2024-12-23,CPKC,CPKC terminal area, Vancouver
2024-12-23,CPKC,CPKC terminal area, Winnipeg
2024-12-30,CN,CN terminal area, Edmonton
2024-12-30,CN,CN terminal area, Kamloops
2024-12-30,CN,CN terminal area, Montreal
2024-12-30,CN,CN terminal area, Prince George
2024-12-30,CN,CN terminal area, Prince Rupert
2024-12-30,CN,CN terminal area, Sarnia
2024-12-30,CN,CN terminal area, Saskatoon
2024-12-30,CN,CN terminal area, Toronto
2024-12-30,CN,CN terminal area, Vancouver
2024-12-30,CN,CN terminal area, Winnipeg
2024-12-30,CPKC,CPKC terminal area, Calgary
2024-12-30,CPKC,CPKC terminal area, Edmonton
2024-12-30,CPKC,CPKC terminal area, Lethbridge
2024-12-30,CPKC,CPKC terminal area, Montreal
2024-12-30,CPKC,CPKC terminal area, Moose Jaw
2024-12-30,CPKC,CPKC terminal area, Red Deer
2024-12-30,CPKC,CPKC terminal area, Toronto
2024-12-30,CPKC,CPKC terminal area, Vancouver
2024-12-30,CPKC,CPKC terminal area, Winnipeg
2025-01-06,CN,CN terminal area, Edmonton
2025-01-06,CN,CN terminal area, Kamloops
2025-01-06,CN,CN terminal area, Montreal
2025-01-06,CN,CN terminal area, Prince George
2025-01-06,CN,CN terminal area, Prince Rupert
2025-01-06,CN,CN terminal area, Sarnia
2025-01-06,CN,CN terminal area, Saskatoon
2025-01-06,CN,CN terminal area, Toronto
2025-01-06,CN,CN terminal area, Vancouver
2025-01-06,CN,CN terminal area, Winnipeg
2025-01-06,CPKC,CPKC terminal area, Calgary
2025-01-06,CPKC,CPKC terminal area, Edmonton
2025-01-06,CPKC,CPKC terminal area, Lethbridge
2025-01-06,CPKC,CPKC terminal area, Montreal
2025-01-06,CPKC,CPKC terminal area, Moose Jaw
2025-01-06,CPKC,CPKC terminal area, Red Deer
2025-01-06,CPKC,CPKC terminal area, Toronto
2025-01-06,CPKC,CPKC terminal area, Vancouver
2025-01-06,CPKC,CPKC terminal area, Winnipeg
2025-01-13,CN,CN terminal area, Edmonton
2025-01-13,CN,CN terminal area, Kamloops
2025-01-13,CN,CN terminal area, Montreal
2025-01-13,CN,CN terminal area, Prince George
2025-01-13,CN,CN terminal area, Prince Rupert
2025-01-13,CN,CN terminal area, Sarnia
2025-01-13,CN,CN terminal area, Saskatoon
2025-01-13,CN,CN terminal area, Toronto
2025-01-13,CN,CN terminal area, Vancouver
2025-01-13,CN,CN terminal area, Winnipeg
2025-01-13,CPKC,CPKC terminal area, Calgary
2025-01-13,CPKC,CPKC terminal area, Edmonton
2025-01-13,CPKC,CPKC terminal area, Lethbridge
2025-01-13,CPKC,CPKC terminal area, Montreal
2025-01-13,CPKC,CPKC terminal area, Moose Jaw
2025-01-13,CPKC,CPKC terminal area, Red Deer
2025-01-13,CPKC,CPKC terminal area, Toronto
2025-01-13,CPKC,CPKC terminal area, Vancouver
2025-01-13,CPKC,CPKC terminal area, Winnipeg
2025-01-20,CN,CN terminal area, Edmonton
2025-01-20,CN,CN terminal area, Kamloops
2025-01-20,CN,CN terminal area, Montreal
2025-01-20,CN,CN terminal area, Prince George
2025-01-20,CN,CN terminal area, Prince Rupert
2025-01-20,CN,CN terminal area, Sarnia
2025-01-20,CN,CN terminal area, Saskatoon
2025-01-20,CN,CN terminal area, Toronto
2025-01-20,CN,CN terminal area, Vancouver
2025-01-20,CN,CN terminal area, Winnipeg
2025-01-20,CPKC,CPKC terminal area, Calgary
2025-01-20,CPKC,CPKC terminal area, Edmonton
2025-01-20,CPKC,CPKC terminal area, Lethbridge
2025-01-20,CPKC,CPKC terminal area, Montreal
2025-01-20,CPKC,CPKC terminal area, Moose Jaw
2025-01-20,CPKC,CPKC terminal area, Red Deer
2025-01-20,CPKC,CPKC terminal area, Toronto
2025-01-20,CPKC,CPKC terminal area, Vancouver
2025-01-20,CPKC,CPKC terminal area, Winnipeg
2025-01-27,CN,CN terminal area, Edmonton
2025-01-27,CN,CN terminal area, Kamloops
2025-01-27,CN,CN terminal area, Montreal
2025-01-27,CN,CN terminal area, Prince George
2025-01-27,CN,CN terminal area, Prince Rupert
2025-01-27,CN,CN terminal area, Sarnia
2025-01-27,CN,CN terminal area, Saskatoon
2025-01-27,CN,CN terminal area, Toronto
2025-01-27,CN,CN terminal area, Vancouver
2025-01-27,CN,CN terminal area, Winnipeg
2025-01-27,CPKC,CPKC terminal area, Calgary
2025-01-27,CPKC,CPKC terminal area, Edmonton
2025-01-27,CPKC,CPKC terminal area, Lethbridge
2025-01-27,CPKC,CPKC terminal area, Montreal
2025-01-27,CPKC,CPKC terminal area, Moose Jaw
2025-01-27,CPKC,CPKC terminal area, Red Deer
2025-01-27,CPKC,CPKC terminal area, Toronto
2025-01-27,CPKC,CPKC terminal area, Vancouver
2025-01-27,CPKC,CPKC terminal area, Winnipeg
2025-02-03,CN,CN terminal area, Edmonton
2025-02-03,CN,CN terminal area, Kamloops
2025-02-03,CN,CN terminal area, Montreal
2025-02-03,CN,CN terminal area, Prince George
2025-02-03,CN,CN terminal area, Prince Rupert
2025-02-03,CN,CN terminal area, Sarnia
2025-02-03,CN,CN terminal area, Saskatoon
2025-02-03,CN,CN terminal area, Toronto
2025-02-03,CN,CN terminal area, Vancouver
2025-02-03,CN,CN terminal area, Winnipeg
2025-02-03,CPKC,CPKC terminal area, Calgary
2025-02-03,CPKC,CPKC terminal area, Edmonton
2025-02-03,CPKC,CPKC terminal area, Lethbridge
2025-02-03,CPKC,CPKC terminal area, Montreal
2025-02-03,CPKC,CPKC terminal area, Moose Jaw
2025-02-03,CPKC,CPKC terminal area, Red Deer
2025-02-03,CPKC,CPKC terminal area, Toronto
2025-02-03,CPKC,CPKC terminal area, Vancouver
2025-02-03,CPKC,CPKC terminal area, Winnipeg
2025-02-10,CN,CN terminal area, Edmonton
2025-02-10,CN,CN terminal area, Kamloops
2025-02-10,CN,CN terminal area, Montreal
2025-02-10,CN,CN terminal area, Prince George
2025-02-10,CN,CN terminal area, Prince Rupert
2025-02-10,CN,CN terminal area, Sarnia
2025-02-10,CN,CN terminal area, Saskatoon
2025-02-10,CN,CN terminal area, Toronto
2025-02-10,CN,CN terminal area, Vancouver
2025-02-10,CN,CN terminal area, Winnipeg
2025-02-10,CPKC,CPKC terminal area, Calgary
2025-02-10,CPKC,CPKC terminal area, Edmonton
2025-02-10,CPKC,CPKC terminal area, Lethbridge
2025-02-10,CPKC,CPKC terminal area, Montreal
