UNINUMBR,YEAR,CERT,BRNUM
1022,2024,1553,0
10220,2022,6989,53
10220,2023,6989,53
10220,2024,6989,53
10221,2022,15990,0
10221,2023,15990,0
10221,2024,15990,0
10224,2022,57957,50
10224,2023,57957,50
10224,2024,57957,50
10225,2022,15995,0
10225,2023,15995,0
10225,2024,15995,0
10229,2022,17534,2041
10229,2023,17534,2041
10229,2024,17534,2041
1023,2022,958,41
1023,2023,958,41
1023,2024,958,41
10231,2022,6989,330
10231,2023,6989,330
10231,2024,6989,330
10232,2022,3511,6925
10232,2023,3511,6925
10232,2024,3511,6925
10233,2022,57957,49
10233,2023,57957,49
10233,2024,57957,49
10234,2022,17534,1998
10234,2023,17534,1998
10234,2024,17534,1998
1024,2022,1556,0
1024,2023,1556,0
1024,2024,1556,0
10244,2022,588,239
10244,2023,588,239
10244,2024,588,239
10246,2022,4297,825
10246,2023,4297,825
10246,2024,4297,825
10248,2022,29950,986
10248,2023,29950,986
10248,2024,29950,986
10251,2022,16022,0
10251,2023,32541,584
10251,2024,32541,584
102524,2022,17266,185
10255,2022,16026,0
10255,2023,16026,0
10255,2024,16026,0
10256,2022,16022,94
10256,2023,32541,666
10256,2024,32541,666
10259,2022,16030,0
10259,2023,16030,0
10259,2024,16030,0
1026,2022,14735,9
1026,2023,14735,9
1026,2024,14735,9
10261,2022,16032,0
10261,2023,16032,0
10261,2024,16032,0
10262,2022,628,3940
10262,2023,628,3940
10262,2024,628,3940
10266,2022,16022,134
10266,2023,32541,667
10266,2024,32541,667
10267,2022,16039,0
10267,2023,16039,0
10267,2024,16039,0
10268,2022,16040,0
10268,2023,16040,0
10268,2024,16040,0
10269,2022,588,991
10269,2023,588,991
10269,2024,588,991
1027,2022,1562,0
1027,2023,1562,0
1027,2024,1562,0
10271,2022,3510,7759
10271,2023,3510,7759
10271,2024,3510,7759
10273,2022,588,962
10273,2023,588,962
10273,2024,588,962
10275,2022,3511,6902
10275,2023,3511,6902
10275,2024,3511,6902
10287,2022,16068,8
10287,2023,16068,8
10287,2024,16068,8
1029,2022,1566,0
1029,2023,1566,0
1029,2024,1566,0
10290,2022,16068,0
10290,2023,16068,0
10290,2024,16068,0
10293,2022,3511,6893
10293,2023,3511,6893
10297,2022,16075,0
10297,2023,16075,0
10297,2024,16075,0
10298,2022,983,579
10298,2023,983,579
10298,2024,983,579
1030,2022,7551,272
1030,2023,7551,272
1030,2024,7551,272
10300,2022,16079,0
10300,2023,16079,0
10300,2024,16079,0
10301,2022,3511,5444
10302,2022,15539,3
10302,2023,15539,3
10302,2024,15539,3
10303,2022,3722,4
10303,2023,3722,4
10303,2024,3722,4
10308,2022,16571,31
10308,2023,16571,31
10308,2024,16571,31
10309,2022,3511,4863
10311,2022,16094,0
10311,2023,16094,0
10311,2024,16094,0
10312,2022,6548,929
10312,2023,6548,929
10312,2024,6548,929
10315,2022,11241,267
10315,2023,11241,267
10318,2022,16101,0
10318,2023,16101,0
10318,2024,16101,0
10319,2022,3510,6011
10319,2023,3510,6011
10319,2024,3510,6011
10320,2022,16103,0
10320,2023,16103,0
10320,2024,16103,0
10321,2022,19459,4
10321,2023,19459,4
10321,2024,19459,4
10323,2022,15510,4
10323,2023,15510,4
10323,2024,15510,4
10324,2022,17323,40
10324,2023,17323,40
10324,2024,17323,40
10325,2022,3276,6
10325,2023,3276,6
10325,2024,3276,6
10326,2022,12814,17
10326,2023,12814,17
10326,2024,12814,17
10327,2022,16110,0
10327,2023,16110,0
10327,2024,16110,0
10328,2022,16111,0
10328,2023,16111,0
10328,2024,16111,0
10329,2022,5452,156
10329,2023,5452,156
10329,2024,5452,156
10330,2022,16114,0
10330,2023,16114,0
10330,2024,16114,0
10331,2022,15478,8
10331,2023,15478,8
10331,2024,15478,8
10332,2022,16116,0
10332,2023,16116,0
10332,2024,16116,0
10335,2022,58228,72
10335,2023,58228,72
10335,2024,58228,72
10336,2022,16120,0
10336,2023,16120,0
10336,2024,16120,0
10337,2022,1122,4
10337,2023,1122,4
10337,2024,1122,4
10339,2022,3031,5
10339,2023,3031,5
10339,2024,3031,5
1034,2022,29950,576
1034,2023,29950,576
1034,2024,29950,576
10340,2022,16125,0
10340,2023,16125,0
10340,2024,16125,0
10341,2022,16126,0
10341,2023,16126,0
10341,2024,16126,0
10342,2022,16127,0
10342,2023,16127,0
10342,2024,16127,0
10343,2022,5424,2
10343,2023,5424,2
10343,2024,5424,2
10345,2022,16130,0
10345,2023,16130,0
