PAIR_ID,CERT,STALPBR,CLASS,UNINUMBR,DEPSUMBR_2022,DEPSUMBR_2023,DEPSUMBR_2024,SHARE_2022,SHARE_2024,DELTA_LOG_SHARE
P013568,9846,MD,GAIN,36403,591487,614065,1169923,0.02413698486808348,0.05403561033289836,0.8058979738650954
P013569,9846,MD,DECLINE,40429,2091220,1486722,1123382,0.08533703275952563,0.05188600617903232,-0.4975593841692352
P013569,9846,MD,GAIN,220874,126545,120930,174044,0.005163959225023752,0.008038626272651244,0.4425546300348476
P013570,9846,MD,DECLINE,3227,525807,390184,318311,0.02145676169135141,0.01470193265768363,-0.3780608676107622
P013570,9846,MD,GAIN,220901,108245,102909,184067,0.004417185715063385,0.008501561801200251,0.6547471106847279
P013571,9846,MD,DECLINE,3216,640168,484541,406819,0.02612352482646493,0.01878988015452246,-0.3295178074651224
P013571,9846,MD,GAIN,486594,101752,111562,187037,0.004152223944562146,0.008638738147582627,0.7326124434558225
P013572,9846,MD,DECLINE,267951,1038799,695820,666246,0.04239057788925243,0.03077211854271794,-0.3203170800694818
P013572,9846,MD,GAIN,220983,101486,215120,220034,0.004141369203925564,0.01016278121208742,0.8977056872917403
P013573,9846,MD,DECLINE,510552,478922,420973,307653,0.0195435116359147,0.01420966817965556,-0.3187207550632152
P013573,9846,MD,GAIN,204171,83996,98391,99273,0.003427649603422459,0.004585154018322418,0.2909489174533328
P013574,9846,MD,DECLINE,363929,712503,652395,474503,0.0290753205555897,0.02191602285773617,-0.2826717168258314
P013574,9846,MD,GAIN,225567,77466,85536,93311,0.003161177962983049,0.004309785204473353,0.3099433350925745
P013575,9846,MD,DECLINE,220859,559679,423907,376441,0.02283898640880373,0.01738680168637302,-0.2727576112807161
P013575,9846,MD,GAIN,544953,74219,209194,193288,0.003028676674084617,0.008927455097493816,1.081005587893711
P013576,9846,MD,DECLINE,479778,465158,399796,321157,0.018981840018915,0.01483338177613624,-0.2466025673255289
P013576,9846,MD,GAIN,220875,72876,115394,114176,0.002973872476058564,0.005273483678301053,0.5728262161738019
P013577,9846,MD,DECLINE,430176,241018,198871,170421,0.009835292777247418,0.007871289604993552,-0.2227553079000353
P013577,9846,MD,GAIN,285320,71343,79642,83093,0.002911314891863523,0.003837843148131564,0.2763056966214669
P013578,9846,MD,DECLINE,10990,401663,324261,287294,0.01639078078312628,0.01326934049076708,-0.2112628815506371
P013578,9846,MD,GAIN,225574,71075,81787,84616,0.002900378536635688,0.003908186439559294,0.2982321818484396
P013579,9846,MD,DECLINE,220864,271290,227922,200260,0.01107061123044525,0.009249473106577292,-0.1797273717810906
P013579,9846,MD,GAIN,220942,69994,84217,97308,0.002856265850063712,0.004494395930564382,0.4533161470202062
P013580,9846,MD,DECLINE,13751,143040,125071,109171,0.005837075566378739,0.005042316131619642,-0.1463643857895794
P013580,9846,MD,GAIN,253161,61014,66741,78383,0.002489816335339991,0.003620300861444361,0.3743481864318803
P013581,9846,MD,DECLINE,576794,2518,2399,1932,0.0001027527703868964,8.923390613156561e-05,-0.141064734472078
P013581,9846,MD,GAIN,624927,1794,2799,3037,7.320828835349173e-05,0.0001402708969573316,0.6502668877867585
P013582,9846,MD,DECLINE,259390,3027245,2022231,2353077,0.1235336816480859,0.1086823251233675,-0.1280846662354755
P013582,9846,MD,GAIN,220915,56316,56861,94503,0.002298103660487871,0.00436484049231436,0.6414973587870187
P013583,9846,MD,DECLINE,422391,232783,197073,181809,0.009499244697765254,0.008397270828092034,-0.1233055383076189
P013583,9846,MD,GAIN,220844,55725,58103,67466,0.002273986548772757,0.003116073867014599,0.315039353361273
P013584,9846,MD,DECLINE,486593,48882,40077,38216,0.001994742224802332,0.001765094698097263,-0.1223104891091479
P013584,9846,MD,GAIN,253167,51941,56949,61545,0.002119571742123029,0.002842598733368118,0.2935046208885316
P013585,9846,MD,DECLINE,204485,62124,60856,49393,0.002535112433485128,0.002281330396250735,-0.1054792085994459
P013585,9846,MD,GAIN,447903,55542,64810,66826,0.002266518813673154,0.003086513980925468,0.3087972004190472
P013586,9846,MD,DECLINE,250166,116125,103743,93269,0.004738747204598231,0.004307845336948754,-0.09533494065401492
P013586,9846,MD,GAIN,432802,55282,72047,81135,0.002255908916810329,0.003747408371627627,0.5075115410962248
P013587,9846,MD,DECLINE,14975,262693,258142,213069,0.01071979090994638,0.00984108651425805,-0.08552552769907015
P013587,9846,MD,GAIN,204612,55193,68552,77121,0.002252277067499593,0.003562012461062356,0.4583839487353756
P013588,9846,MD,DECLINE,204609,215810,190902,176136,0.00880662246910092,0.008135250150305093,-0.0792975016827497
P013588,9846,MD,GAIN,227698,44694,82248,92304,0.001823841270719598,0.004263274571204985,0.8490926784520906
P013589,9846,MD,DECLINE,494782,212829,193943,173876,0.008684975920839069,0.008030866802552846,-0.07830215953304094
P013589,9846,MD,GAIN,220897,43065,52061,56606,0.001757366186144438,0.002614479549939649,0.3972488497765371
P013590,9846,MD,DECLINE,283903,253424,210948,207380,0.01034154808678667,0.00957832683931888,-0.07666665083018119
P013590,9846,MD,GAIN,220857,41697,49159,58587,0.001701541805727728,0.002705976634849914,0.4639281105577754
P013591,9846,MD,DECLINE,250255,84785,77049,69520,0.00345984655967157,0.003210942626431905,-0.07465969404220302
P013591,9846,MD,GAIN,224467,34257,42485,39813,0.001397935526268432,0.001838855851354048,0.2741470340953523
P013592,9846,MD,DECLINE,220862,179198,158114,147266,0.007312585761632671,0.006801822163753178,-0.07240639903211636
P013592,9846,MD,GAIN,362828,32054,43679,51392,0.001308037054003804,0.002373658852957256,0.5959050031126639
P013593,9846,MD,DECLINE,283905,186345,145680,157323,0.007604235503473476,0.00726632806125067,-0.04545431217954693
P013593,9846,MD,GAIN,220856,30963,67228,65683,0.001263516294475565,0.003033721871863159,0.8758916622137731
P013594,9846,MD,DECLINE,7265,148302,136372,125236,0.006051803555964064,0.005784315459778856,-0.04520631259945067
P013594,9846,MD,GAIN,7266,29120,30933,38075,0.001188308448636387,0.001758582285693251,0.3919771408124914
P013595,9846,MD,DECLINE,466573,14994,14672,12749,0.000611864590619986,0.0005888421683599016,-0.03835281856513403
P013595,9846,MD,GAIN,441360,16544,18729,28203,0.0006751158988406729,0.001302621042768398,0.6572493222982561
P013596,9846,MD,DECLINE,246691,204202,184830,174189,0.008332931381471415,0.008045323434343313,-0.03512431802693747
P013596,9846,MD,GAIN,443074,25335,27572,31166,0.001033852834691033,0.001439474077896674,0.3309853834553008
P013597,9846,MD,DECLINE,466597,127785,113966,110607,0.005214560271600301,0.005108641126032131,-0.0205213205784871
P013597,9846,MD,GAIN,617246,17391,19586,27413,0.0007096796782361062,0.001266133058377126,0.5789089877657894
P013598,9846,MD,DECLINE,365622,231597,214899,200908,0.009450847245152522,0.009279402491242537,-0.01830723505288498
P013598,9846,MD,GAIN,278025,7027,8177,12915,0.0002867528663656557,0.0005965092638142701,0.7324740196974943
P013599,9846,MD,DECLINE,249126,152040,131829,132462,0.006204341227014984,0.006118065048653956,-0.01400336692067028
P013599,9846,MD,GAIN,607782,5792,8532,16168,0.0002363558562672375,0.0007467566223266836,1.150400790377656
P013600,9846,MD,DECLINE,590030,248174,235896,218213,0.01012730978474886,0.01007867409869944,-0.00481399770046954
P013600,9846,MD,GAIN,573492,4252,5611,9248,0.0001735126210028132,0.0004271403539879496,0.9008623168100712
P013601,9846,MD,DECLINE,454162,60413,59173,53181,0.002465291150668615,0.002456287972040782,-0.003658658510302316
P013601,9846,MD,GAIN,607774,1734,5622,6147,7.075985061591675e-05,0.0002839134684217049,1.389377744926274
P013602,9846,NC,DECLINE,205419,957424,300969,246012,0.008823921484661396,0.002278732990666895,-1.353846801324354
P013602,9846,NC,GAIN,221326,1022310,1058062,1323124,0.009421931320902957,0.0122556879727133,0.2629500625044343
P013603,9846,NC,DECLINE,190567,1240501,568055,415688,0.01143284837819393,0.003850389246964945,-1.088316402405903
